Variety,Growernr_seeduser,Growernr_seedproducer,Year,Sensitivity,Ares,Mah,DefH,dk,GPS_coord,strains_1,strains_2,strains_3,strains_4,strains_5,strains_6,strains_7,strains_8,strains_9
HZ_46,Grower_259,Grower_3,2021,Susceptible,1.24,E,E,0,050313-363284,0,0,2,2,0,0,0,1,0
HZ_17,Grower_104,Grower_12,2021,Susceptible,1.75,E,E,0,180303-593112,0,0,6,3,4,0,0,2,0
HZ_4,Grower_280,Grower_1,2019,Verysusceptible,2.91,SE,E,1,088915-400641,0,0,6,2,2,1,4,0,0
HZ_11,Grower_105,Grower_9,2020,Tolerant,1.1,SE,SE,0,122367-571880,0,0,6,2,2,0,1,0,0
HZ_17,Grower_130,Grower_166,2019,Susceptible,2.75,SE,E,1,165262-582941,0,0,8,8,5,0,0,0,0
HZ_2,Grower_1,Grower_6,2022,Tolerant,0.24,SE,SE,0,252458-599275,0,0,1,0,1,0,0,0,0
HZ_3,Grower_130,Grower_42,2021,Tolerant,1.1,SE,-,0,166557-583360,0,0,2,1,1,0,0,0,0
HZ_9,Grower_187,Grower_67,2023,Verysusceptible,2.09,SE,SE,0,058115-371763,0,0,0,0,1,0,0,0,0
HZ_24,Grower_46,Grower_24,2023,Tolerant,1.95,SE,SE,0,221175-591757,0,0,0,0,0,0,0,0,0
HZ_12,Grower_264,Grower_15,2020,Susceptible,1.4,SE,E,0,061959-373259,0,0,0,0,0,0,0,0,0
HZ_61,Grower_431,Grower_168,2019,Susceptible,3.5,SE,SE,0,090415-421964,0,0,0,0,0,0,0,0,0
HZ_3,Grower_342,Grower_94,2020,Tolerant,0.74,SE,E,0,187090-517656,0,0,2,1,1,0,0,0,0
HZ_30,Grower_206,Grower_81,2023,Verysusceptible,0.54,PB4,E,0,114907-568301,0,0,7,2,4,0,0,4,0
HZ_8,Grower_39,Grower_111,2022,Tolerant,0.7,PB4,PB4,0,246150-605511,0,0,0,0,0,0,0,0,0
HZ_46,Grower_277,Grower_75,2019,Susceptible,1.35,E,E,0,084870-396831,0,0,2,0,1,0,0,0,0
HZ_15,Grower_275,Grower_21,2021,Verysusceptible,1.8,SE,SE,0,086254-393937,0,0,1,0,0,0,0,0,0
HZ_39,Grower_114,Grower_40,2021,Tolerant,1.25,SE,A,1,168999-590448,0,0,8,4,6,0,0,5,0
HZ_17,Grower_132,Grower_42,2019,Susceptible,1.1,SE,SE,0,161222-570611,0,0,8,1,3,0,0,0,0
HZ_4,Grower_182,Grower_89,2023,Verysusceptible,1.3,SE,E,0,189993-528794,0,0,1,0,1,0,0,0,0
HZ_3,Grower_127,Grower_75,2021,Tolerant,1.12,SE,SE,0,169041-583746,0,0,7,0,3,0,0,3,0
HZ_17,Grower_77,Grower_90,2020,Susceptible,0.71,SE,SE,0,205988-600275,0,0,3,0,1,0,0,0,0
HZ_4,Grower_238,Grower_2,2022,Verysusceptible,0.8,SE,SE,0,063219-369329,0,0,6,1,2,4,4,8,0
HZ_35,Grower_102,Grower_51,2022,Tolerant,3.0,E,E,0,183634-593321,0,0,7,2,3,1,7,7,0
HZ_8,Grower_114,Grower_58,2022,Tolerant,0.7,SE,SE,0,167936-587889,0,0,6,1,0,0,1,7,1
HZ_20,Grower_152,Grower_82,2022,Tolerant,0.6,SE,SE,0,173696-533126,0,0,2,1,1,1,0,1,1
HZ_36,Grower_91,Grower_53,2023,Tolerant,0.97,SE,SE,0,196064-599363,0,0,4,3,2,0,0,0,0
HZ_13,Grower_247,Grower_101,2022,Tolerant,2.25,SE,SE,0,038298-373096,0,0,3,2,2,0,0,1,0
HZ_46,Grower_259,Grower_3,2021,Susceptible,1.6,E,A,0,048849-365843,0,0,2,2,0,0,0,1,0
HZ_46,Grower_115,Grower_42,2022,Susceptible,1.58,S,A,0,182977-593899,0,0,0,0,0,0,0,0,0
HZ_20,Grower_203,Grower_76,2019,Tolerant,0.75,SE,A,0,228965-437189,0,0,8,1,3,0,0,0,0
HZ_4,Grower_284,Grower_1,2021,Verysusceptible,2.94,SE,SE,0,085738-401201,0,0,8,1,3,0,0,7,0
HZ_15,Grower_8,Grower_21,2020,Verysusceptible,1.35,SE,SE,0,248277-595244,0,0,0,0,0,0,0,0,0
HZ_3,Grower_302,Grower_18,2019,Tolerant,0.65,SE,A,0,245418-607948,0,0,1,1,0,0,0,0,0
HZ_17,Grower_83,Grower_52,2019,Susceptible,3.88,SE,A,0,196010-597764,0,0,6,5,5,1,0,0,0
HZ_2,Grower_282,Grower_99,2022,Tolerant,1.82,SE,A,0,234962-439425,0,0,1,0,0,2,0,4,0
HZ_79,Grower_196,Grower_4,2021,Tolerant,0.75,SE,SE,0,120300-567804,0,0,1,1,0,0,0,0,0
HZ_56,Grower_168,Grower_93,2021,Susceptible,0.4,SE,E,0,191264-528799,0,0,0,0,0,0,0,0,0
HZ_20,Grower_46,Grower_36,2019,Tolerant,1.27,SE,SE,0,223051-592342,0,0,0,0,0,0,0,0,0
HZ_47,Grower_252,Grower_42,2022,Verysusceptible,1.55,SE,A,0,052904-374477,0,0,2,1,2,0,2,2,0
HZ_4,Grower_132,Grower_66,2023,Verysusceptible,0.88,SE,E,0,160139-569261,0,0,2,1,1,1,0,1,1
HZ_5,Grower_280,Grower_92,2022,Susceptible,1.85,SE,SE,0,088217-401602,0,0,1,1,0,0,0,1,0
HZ_8,Grower_192,Grower_58,2019,Tolerant,1.88,E,E,0,223717-602955,0,0,8,6,6,0,0,0,0
HZ_17,Grower_175,Grower_93,2022,Susceptible,4.0,SE,E,1,172227-520397,0,0,8,2,0,0,0,0,0
HZ_37,Grower_203,Grower_97,2019,Tolerant,1.75,SE,A,0,229992-436709,0,0,2,0,1,0,0,0,0
HZ_3,Grower_19,Grower_20,2019,Tolerant,1.73,E,E,0,242285-602542,0,0,6,2,2,0,1,0,0
HZ_5,Grower_203,Grower_56,2023,Susceptible,3.35,SE,SE,0,229988-433947,0,0,0,0,0,0,0,0,0
HZ_17,Grower_132,Grower_52,2020,Susceptible,0.8,SE,SE,0,159936-569631,0,0,7,4,4,0,0,0,0
HZ_13,Grower_232,Grower_115,2022,Tolerant,0.6,E,A,0,115460-526969,0,0,6,0,2,0,0,3,0
HZ_5,Grower_121,Grower_8,2022,Susceptible,3.1,E,E,0,177712-584127,0,0,0,0,0,0,0,1,0
HZ_36,Grower_76,Grower_53,2023,Tolerant,0.65,PB4,-,0,201825-597692,0,0,4,3,2,0,0,0,0
HZ_20,Grower_275,Grower_29,2021,Tolerant,2.45,SE,SE,0,096098-406007,0,0,1,0,0,0,0,0,0
HZ_26,Grower_26,Grower_3,2023,Tolerant,1.5,E,A,0,237463-599590,0,0,0,0,0,0,0,0,0
HZ_52,Grower_438,Grower_1,2019,Tolerant,2.05,SE,A,0,219414-600849,0,0,0,0,0,0,0,0,0
HZ_5,Grower_158,Grower_86,2021,Susceptible,0.85,SE,SE,0,180329-499890,0,0,0,0,0,0,0,0,0
HZ_17,Grower_198,Grower_42,2021,Susceptible,2.1,S,A,1,116879-564277,0,0,0,0,0,0,0,0,0
HZ_20,Grower_351,Grower_1,2020,Tolerant,1.42,SE,SE,0,132927-538847,0,0,7,1,3,0,0,0,0
HZ_4,Grower_253,Grower_132,2019,Verysusceptible,3.35,SE,A,0,055865-408202,0,0,8,6,6,1,0,0,0
HZ_3,Grower_121,Grower_52,2022,Tolerant,1.0,SE,SE,0,177637-582299,0,0,0,0,0,0,0,1,0
HZ_5,Grower_236,Grower_33,2022,Susceptible,0.9,E,E,0,136642-521706,0,0,0,0,0,0,0,1,0
HZ_5,Grower_209,Grower_83,2020,Susceptible,2.6,SE,-,0,130309-525679,0,0,2,0,1,0,0,0,0
HZ_2,Grower_332,Grower_2,2020,Tolerant,1.0,SE,-,0,178366-591971,0,0,0,0,0,0,0,0,0
HZ_39,Grower_244,Grower_133,2020,Tolerant,3.25,SE,E,0,048209-361453,0,0,1,0,0,0,0,0,0
HZ_3,Grower_60,Grower_146,2021,Tolerant,1.1,SE,E,0,173563-517036,0,0,0,0,0,0,0,0,0
HZ_35,Grower_336,Grower_51,2019,Tolerant,1.28,E,E,0,176583-528113,0,0,8,8,5,0,5,0,0
HZ_46,Grower_187,Grower_75,2019,Susceptible,1.6,E,A,0,060380-371781,0,0,3,1,1,0,0,0,0
HZ_4,Grower_175,Grower_1,2021,Verysusceptible,1.95,SE,E,0,189538-518989,0,0,6,1,2,0,0,8,0
HZ_9,Grower_5,Grower_10,2023,Verysusceptible,0.85,SE,SE,0,250099-601160,0,0,7,1,6,2,0,3,0
HZ_20,Grower_215,Grower_12,2022,Tolerant,0.48,SE,SE,0,119452-537067,0,0,4,1,2,0,1,4,0
HZ_5,Grower_274,Grower_90,2019,Susceptible,1.1,SE,A,0,076677-401347,0,0,0,0,0,0,0,0,0
HZ_4,Grower_277,Grower_66,2023,Verysusceptible,2.0,SE,AF,0,076181-396206,0,0,2,1,1,1,0,1,1
HZ_20,Grower_351,Grower_83,2020,Tolerant,1.77,E,E,0,132927-538847,0,0,0,0,0,0,0,0,0
HZ_1,Grower_286,Grower_1,2020,Tolerant,1.12,SE,SE,0,253922-600198,0,0,3,0,1,0,0,0,0
HZ_77,Grower_409,Grower_33,2020,Tolerant,0.53,PB4,-,0,220062-595279,0,0,0,0,0,0,0,0,0
HZ_17,Grower_350,Grower_52,2022,Susceptible,1.44,SE,SE,0,134896-540970,0,0,5,0,2,0,0,0,0
HZ_3,Grower_86,Grower_163,2020,Tolerant,0.92,SE,SE,0,196248-600549,0,0,6,0,2,0,0,0,0
HZ_5,Grower_277,Grower_83,2021,Susceptible,4.4,SE,SE,0,076885-396970,0,0,0,0,0,0,0,0,0
HZ_4,Grower_182,Grower_63,2020,Verysusceptible,1.0,SE,A,1,188735-529699,0,0,4,0,1,0,0,0,0
HZ_5,Grower_234,Grower_33,2020,Susceptible,1.0,SE,A,0,120636-515963,0,0,0,0,0,0,0,0,0
HZ_4,Grower_271,Grower_49,2022,Verysusceptible,1.2,SE,SE,0,093717-407381,0,0,6,4,3,1,1,7,0
HZ_29,Grower_182,Grower_2,2021,Tolerant,1.1,SE,A,0,190193-529076,0,0,0,0,0,0,0,0,0
HZ_16,Grower_282,Grower_17,2019,Susceptible,1.72,SE,A,0,237091-434606,0,0,8,7,4,0,1,0,0
HZ_51,Grower_305,Grower_12,2021,Susceptible,1.13,SE,AF,1,247840-603224,0,0,0,0,0,0,0,0,0
HZ_17,Grower_220,Grower_90,2020,Susceptible,0.66,SE,SE,0,129585-543768,0,0,3,0,1,0,0,0,0
HZ_3,Grower_180,Grower_2,2023,Tolerant,0.8,SE,E,0,180062-537437,0,0,0,0,0,0,0,0,0
HZ_43,Grower_86,Grower_36,2020,Tolerant,0.3,SE,SE,0,198219-600236,0,0,6,2,2,1,1,0,0
HZ_12,Grower_178,Grower_146,2019,Susceptible,1.35,SE,SE,0,182058-529365,0,0,7,0,3,0,0,0,0
HZ_5,Grower_4,Grower_3,2019,Susceptible,1.07,SE,SE,0,252440-600916,0,0,0,0,0,0,0,0,0
HZ_20,Grower_87,Grower_116,2022,Tolerant,4.2,SE,SE,0,201672-600046,0,0,4,1,2,1,1,2,1
HZ_17,Grower_83,Grower_52,2019,Susceptible,1.45,SE,SE,0,195890-597750,0,0,6,5,5,1,0,0,0
HZ_24,Grower_79,Grower_24,2022,Tolerant,0.7,SE,SE,0,205762-593565,0,0,6,6,1,0,0,2,0
HZ_20,Grower_403,Grower_2,2021,Tolerant,2.9,SE,E,0,097861-404720,0,0,7,2,4,0,0,1,0
HZ_20,Grower_230,Grower_98,2019,Tolerant,0.93,E,E,0,123576-534947,0,0,8,8,5,0,4,0,0
HZ_5,Grower_332,Grower_47,2022,Susceptible,1.2,SE,SE,0,178919-592277,0,0,1,1,1,0,0,0,0
HZ_65,Grower_92,Grower_153,2019,Tolerant,0.55,SE,A,0,191246-598393,0,0,1,0,0,0,0,0,0
HZ_39,Grower_294,Grower_178,2019,Tolerant,2.36,SE,SE,0,237898-607362,0,0,7,6,4,0,0,0,0
HZ_17,Grower_236,Grower_40,2020,Susceptible,3.8,E,E,0,137283-521883,0,0,5,6,3,0,0,0,0
HZ_4,Grower_187,Grower_2,2023,Verysusceptible,2.57,SE,E,0,058323-371801,0,0,2,0,2,0,0,3,0
HZ_51,Grower_134,Grower_132,2021,Susceptible,1.5,E,E,0,171218-579630,0,0,6,6,1,1,2,5,0
HZ_14,Grower_8,Grower_19,2023,Susceptible,1.37,E,E,0,247643-595015,0,0,0,0,0,0,0,0,0
HZ_5,Grower_175,Grower_86,2023,Susceptible,5.8,SE,A,0,183509-527940,0,0,0,0,0,0,0,0,0
HZ_13,Grower_7,Grower_115,2022,Tolerant,3.0,E,E,0,260478-590598,0,0,6,0,2,0,0,3,0
HZ_8,Grower_74,Grower_28,2023,Tolerant,0.38,SE,A,0,227967-595591,0,0,0,0,0,0,0,0,0
HZ_20,Grower_354,Grower_29,2022,Tolerant,1.64,SE,SE,0,134795-526077,0,0,1,0,0,0,0,0,0
HZ_3,Grower_8,Grower_2,2019,Tolerant,2.02,E,A,0,248728-595491,0,0,1,1,0,0,0,0,0
HZ_12,Grower_199,Grower_52,2021,Susceptible,0.64,SE,SE,0,117419-565995,0,0,8,4,6,2,3,3,0
HZ_54,Grower_186,Grower_3,2020,Verysusceptible,1.1,SE,A,1,173704-515441,0,0,6,0,2,0,0,0,0
HZ_21,Grower_288,Grower_88,2019,Verysusceptible,0.42,SE,SE,0,254586-599347,0,0,0,0,0,0,0,0,0
HZ_11,Grower_200,Grower_19,2023,Tolerant,0.85,SE,SE,0,119020-571591,0,0,1,0,1,0,0,0,0
HZ_16,Grower_69,Grower_1,2022,Susceptible,1.0,SE,SE,0,226190-603364,0,0,1,0,1,0,1,1,0
HZ_3,Grower_33,Grower_3,2019,Tolerant,1.04,SE,A,0,246226-607096,0,0,0,0,0,0,0,0,0
HZ_21,Grower_174,Grower_90,2019,Verysusceptible,2.62,SE,A,1,039241-369280,0,0,8,8,5,0,0,0,0
HZ_20,Grower_155,Grower_12,2022,Tolerant,0.3,E,E,0,171970-524081,0,0,4,1,2,0,1,4,0
HZ_4,Grower_163,Grower_2,2020,Verysusceptible,3.6,E,B,0,153806-490734,0,0,2,0,1,0,1,0,0
HZ_20,Grower_282,Grower_1,2021,Tolerant,1.01,SE,A,0,233682-436596,0,0,8,5,2,0,0,8,0
HZ_35,Grower_152,Grower_51,2022,Tolerant,0.7,SE,SE,0,173696-533126,0,0,8,1,3,2,8,8,0
HZ_3,Grower_368,Grower_112,2020,Tolerant,0.15,E,E,0,160384-579415,0,0,0,0,0,0,0,0,0
HZ_35,Grower_90,Grower_40,2020,Tolerant,1.5,SE,A,0,198445-601339,0,0,8,8,5,0,8,0,0
HZ_4,Grower_275,Grower_9,2021,Verysusceptible,0.3,SE,E,0,083874-401907,0,0,5,1,2,0,0,4,0
HZ_7,Grower_130,Grower_66,2019,Tolerant,2.6,E,E,0,165262-582941,0,0,0,0,0,0,0,0,0
HZ_3,Grower_89,Grower_53,2023,Tolerant,0.25,SE,SE,0,196811-601318,0,0,2,0,0,0,0,3,0
HZ_12,Grower_187,Grower_15,2023,Susceptible,2.31,SE,A,0,057808-371010,0,0,1,0,1,1,0,2,0
HZ_2,Grower_93,Grower_178,2019,Tolerant,0.9,SE,SE,0,187943-595881,0,0,0,0,0,0,0,0,0
HZ_5,Grower_218,Grower_29,2023,Susceptible,2.62,SE,SE,0,117874-532420,0,0,1,1,0,0,0,0,0
HZ_42,Grower_97,Grower_66,2022,Verysusceptible,1.55,E,E,0,188142-596692,0,0,8,1,0,0,3,2,0
HZ_17,Grower_66,Grower_133,2021,Susceptible,0.75,SE,A,1,232967-600315,0,0,6,4,3,0,0,3,0
HZ_4,Grower_249,Grower_33,2020,Verysusceptible,2.69,SE,E,1,057733-363473,0,0,7,0,3,0,1,0,0
HZ_61,Grower_268,Grower_205,2019,Susceptible,2.93,SE,A,0,067193-399969,0,0,8,6,6,0,7,0,0
HZ_22,Grower_392,Grower_88,2021,Tolerant,0.38,SE,SE,0,174011-519843,0,0,3,1,1,0,0,0,0
HZ_8,Grower_347,Grower_48,2020,Tolerant,0.77,SE,E,0,186092-522149,0,0,2,1,1,0,0,0,0
HZ_17,Grower_132,Grower_42,2022,Susceptible,0.8,SE,E,0,159813-569514,0,0,2,1,1,1,1,2,0
HZ_3,Grower_161,Grower_86,2022,Tolerant,1.6,SE,A,0,182753-497578,0,0,1,0,1,0,0,1,0
HZ_20,Grower_236,Grower_99,2022,Tolerant,1.9,SE,SE,0,135645-521698,0,0,1,0,0,0,1,3,0
HZ_43,Grower_89,Grower_65,2021,Tolerant,0.5,SE,AF,0,202065-599774,0,0,6,1,2,0,1,2,0
HZ_17,Grower_3,Grower_23,2021,Susceptible,1.47,SE,SE,0,249667-594968,0,0,8,1,3,0,0,1,1
HZ_18,Grower_158,Grower_87,2023,Tolerant,0.6,SE,SE,0,179521-498988,0,0,0,0,0,0,0,0,0
HZ_4,Grower_35,Grower_4,2019,Verysusceptible,1.1,SE,A,0,247921-608017,0,0,4,1,1,0,0,0,0
HZ_16,Grower_282,Grower_8,2019,Susceptible,2.69,SE,A,0,237091-434606,0,0,8,8,5,0,0,0,0
HZ_20,Grower_87,Grower_28,2021,Tolerant,0.86,PB4,PB4,0,217955-592246,0,0,4,0,1,0,0,2,0
HZ_12,Grower_211,Grower_146,2020,Susceptible,1.69,E,E,0,130664-537393,0,0,2,1,1,0,0,0,0
HZ_38,Grower_236,Grower_12,2019,Tolerant,3.4,E,A,0,136850-521265,0,0,8,3,4,0,0,0,0
HZ_3,Grower_28,Grower_113,2022,Tolerant,1.0,SE,E,0,245590-597221,0,0,1,0,0,1,0,1,0
HZ_5,Grower_259,Grower_38,2022,Susceptible,1.4,E,A,0,049352-362924,0,0,8,2,0,1,0,8,0
HZ_17,Grower_383,Grower_61,2019,Susceptible,0.8,SE,-,0,165103-582849,0,0,6,4,3,0,0,0,0
HZ_3,Grower_397,Grower_74,2019,Tolerant,1.5,E,A,0,116534-563740,0,0,0,0,0,0,0,0,0
HZ_3,Grower_31,Grower_2,2020,Tolerant,1.89,SE,A,0,250592-603399,0,0,8,0,3,0,0,0,0
HZ_17,Grower_218,Grower_47,2019,Susceptible,2.83,SE,SE,0,116997-534755,0,0,8,8,5,0,0,0,0
HZ_16,Grower_87,Grower_32,2022,Susceptible,1.2,SE,SE,0,217515-591995,0,0,5,3,1,0,0,3,0
HZ_20,Grower_257,Grower_49,2023,Tolerant,1.5,SE,SE,0,023602-366152,0,0,0,0,0,0,0,1,0
HZ_32,Grower_342,Grower_44,2019,Susceptible,0.32,SE,A,0,187460-520721,0,0,6,4,3,0,0,0,0
HZ_17,Grower_89,Grower_93,2020,Susceptible,2.0,SE,SE,0,194702-600513,0,0,1,1,0,0,0,0,0
HZ_5,Grower_1,Grower_47,2022,Susceptible,2.5,SE,SE,0,252458-599275,0,0,1,1,1,0,0,0,0
HZ_11,Grower_247,Grower_12,2022,Tolerant,2.4,SE,SE,0,032005-369392,0,0,0,0,0,0,0,0,0
HZ_17,Grower_104,Grower_99,2020,Susceptible,2.3,E,E,0,181481-592199,0,0,0,0,0,0,0,0,0
HZ_4,Grower_231,Grower_1,2022,Verysusceptible,1.81,SE,SE,0,121636-538314,0,0,2,2,0,0,1,6,0
HZ_3,Grower_332,Grower_66,2021,Tolerant,1.4,SE,-,0,178275-592438,0,0,1,0,0,0,0,0,1
HZ_47,Grower_252,Grower_44,2021,Verysusceptible,3.35,SE,A,1,052554-374045,0,0,5,2,2,0,0,5,0
HZ_29,Grower_183,Grower_2,2020,Tolerant,4.36,SE,E,0,189809-529546,0,0,1,0,0,0,0,0,0
HZ_20,Grower_307,Grower_8,2022,Tolerant,1.08,SE,SE,0,218210-593015,0,0,6,0,5,0,1,6,0
HZ_3,Grower_68,Grower_58,2021,Tolerant,1.33,SE,SE,0,119579-576046,0,0,8,0,3,0,0,5,1
HZ_43,Grower_17,Grower_18,2022,Tolerant,0.5,SE,SE,0,241999-606084,0,0,4,1,1,1,1,2,1
HZ_3,Grower_125,Grower_75,2021,Tolerant,1.4,SE,-,0,160678-578460,0,0,7,0,3,0,0,3,0
HZ_16,Grower_277,Grower_49,2021,Susceptible,3.65,SE,SE,0,076524-396688,0,0,7,4,4,0,0,4,0
HZ_30,Grower_130,Grower_42,2023,Verysusceptible,0.8,PB4,-,0,166092-581916,0,0,3,0,2,0,0,1,0
HZ_20,Grower_209,Grower_82,2022,Tolerant,0.9,E,E,0,132184-543645,0,0,2,1,1,1,0,1,1
HZ_17,Grower_139,Grower_42,2021,Susceptible,2.65,S,E,1,162209-582930,0,0,0,0,0,0,0,0,0
HZ_22,Grower_280,Grower_153,2019,Tolerant,0.31,SE,SE,0,088915-400641,0,0,3,2,1,0,0,0,0
HZ_72,Grower_148,Grower_153,2020,Tolerant,2.75,SE,SE,0,176030-529784,0,0,0,0,0,0,0,0,0
HZ_4,Grower_253,Grower_49,2019,Verysusceptible,3.0,SE,A,0,055865-408202,0,0,7,3,5,0,2,0,0
HZ_20,Grower_206,Grower_147,2021,Tolerant,1.18,SE,SE,0,116011-568917,0,0,6,4,3,0,0,2,1
HZ_17,Grower_332,Grower_133,2021,Susceptible,1.0,SE,A,0,177730-592592,0,0,6,4,3,0,0,3,0
HZ_3,Grower_341,Grower_68,2021,Tolerant,0.93,SE,SE,0,168933-508425,0,0,2,0,1,0,0,0,0
HZ_65,Grower_93,Grower_49,2021,Tolerant,0.4,SE,SE,0,173841-590429,0,0,4,0,1,0,0,1,0
HZ_39,Grower_130,Grower_133,2020,Tolerant,0.74,SE,SE,0,166714-582808,0,0,1,0,0,0,0,0,0
HZ_5,Grower_175,Grower_86,2019,Susceptible,0.8,SE,SE,0,184274-528119,0,0,0,0,0,0,0,0,0
HZ_4,Grower_279,Grower_1,2020,Verysusceptible,2.2,SE,A,0,080923-401000,0,0,7,2,4,0,6,0,0
HZ_3,Grower_227,Grower_42,2021,Tolerant,1.19,SE,SE,0,126668-539344,0,0,2,1,1,0,0,0,0
HZ_61,Grower_322,Grower_63,2020,Susceptible,1.48,SE,SE,0,201232-600597,0,0,5,2,2,0,0,0,0
HZ_20,Grower_294,Grower_117,2019,Tolerant,0.47,SE,A,0,237898-607362,0,0,4,3,2,0,0,0,0
